aX,aY,aZ,gX,gY,gZ
-0.079,0.900,0.246,-306.159,49.634,49.939
0.056,1.130,0.248,-294.268,47.744,41.707
-0.356,1.044,0.354,-282.561,35.915,33.780
-0.234,1.008,0.562,-204.695,46.707,36.159
-0.274,1.039,0.338,-159.085,46.159,33.354
-0.180,1.047,0.257,-105.000,51.280,35.244
-0.184,1.075,0.099,-75.305,42.805,35.488
-0.254,0.974,0.047,-39.085,27.561,26.280
-0.269,0.828,0.203,-4.817,15.976,31.159
-0.273,0.661,0.280,29.634,10.732,28.049
-0.268,0.558,0.390,54.451,8.902,27.622
-0.278,0.511,0.408,75.732,9.939,29.268
-0.269,0.506,0.410,86.646,8.171,25.488
-0.266,0.489,0.417,86.768,2.134,20.915
-0.266,0.448,0.480,80.061,-6.037,17.561
-0.267,0.386,0.573,72.317,-7.012,14.146
-0.264,0.328,0.635,56.829,-7.317,7.012
-0.243,0.227,0.727,49.268,-12.073,1.463
-0.234,0.122,0.762,42.500,-6.829,3.110
-0.250,0.042,0.692,32.744,-1.951,2.683
-0.267,-0.036,0.708,22.317,-5.915,-2.256
-0.284,-0.082,0.671,16.951,-7.500,1.463
-0.273,-0.123,0.700,12.866,-8.171,1.646
-0.268,-0.134,0.685,6.951,-9.512,1.402
-0.254,-0.146,0.696,1.280,-12.012,-1.463
-0.236,-0.156,0.672,-2.195,-9.085,1.159
-0.226,-0.135,0.648,-6.402,-9.817,-1.037
-0.238,-0.124,0.603,-6.646,-16.220,0.122
-0.251,-0.116,0.590,-11.646,-18.720,1.280
-0.277,-0.125,0.610,-13.354,-27.866,-3.110
-0.259,-0.129,0.682,-13.780,-33.415,-3.476
-0.258,-0.125,0.784,-15.366,-42.195,-3.232
-0.251,-0.096,0.897,-19.085,-40.549,-5.915
-0.264,-0.074,0.981,-19.451,-42.439,-5.915

-0.548,-0.655,1.453,-586.219,-38.537,-85.793
-0.527,-0.680,1.476,-587.439,-28.354,-90.854
-0.512,-0.499,1.531,-590.793,-21.646,-90.976
-0.502,-0.471,1.564,-589.207,-11.159,-92.683
-0.494,-0.496,1.559,-590.366,-1.037,-94.878
-0.459,-0.539,1.563,-599.817,5.915,-100.976
-0.472,-0.596,1.540,-597.317,22.927,-102.988
-0.449,-0.602,1.378,-596.829,37.256,-102.073
-0.448,-0.571,1.266,-590.793,48.232,-100.244
-0.437,-0.574,1.102,-577.012,56.463,-103.049
-0.371,-0.552,0.922,-558.902,69.939,-104.573
-0.371,-0.572,0.794,-536.951,75.732,-103.232
-0.314,-0.563,0.625,-501.402,75.854,-98.780
-0.318,-0.568,0.507,-465.061,80.671,-93.537
-0.286,-0.499,0.426,-420.976,80.122,-87.012
-0.265,-0.438,0.339,-383.293,79.634,-79.207
-0.232,-0.448,0.276,-348.659,76.098,-80.244
-0.212,-0.458,0.315,-311.037,74.695,-71.220
-0.181,-0.440,0.333,-275.976,77.927,-71.341
-0.109,-0.393,0.359,-249.573,81.768,-69.268
-0.142,-0.379,0.340,-217.927,91.524,-69.939
-0.131,-0.337,0.246,-200.854,94.329,-69.695
-0.108,-0.394,0.178,-187.012,104.268,-71.098
-0.065,-0.479,0.083,-176.159,109.146,-73.963
-0.038,-0.506,0.000,-166.829,120.610,-74.939
0.009,-0.618,-0.171,-159.390,123.780,-79.817
0.027,-0.633,-0.322,-155.488,117.500,-77.134
0.051,-0.699,-0.408,-150.854,114.634,-79.573
0.078,-0.757,-0.507,-146.524,110.000,-80.427
0.097,-0.812,-0.624,-140.000,104.573,-76.707
0.132,-0.861,-0.699,-130.000,99.329,-73.171
0.146,-0.947,-0.780,-113.049,90.366,-74.024
0.148,-0.998,-0.842,-91.951,88.293,-68.110
0.172,-1.064,-0.909,-66.280,80.915,-58.902
0.239,-1.154,-0.954,-37.927,73.963,-53.720
0.214,-1.290,-1.012,-5.366,68.049,-42.073
0.206,-1.367,-1.046,28.232,58.354,-33.232
0.180,-1.423,-1.070,63.720,41.402,-13.293
0.184,-1.409,-1.072,96.829,32.378,-1.463
0.164,-1.397,-1.023,128.720,23.659,16.159
0.164,-1.370,-0.931,166.280,13.293,25.732
0.166,-1.382,-0.814,200.366,5.976,36.463
0.162,-1.389,-0.728,233.232,-1.585,45.793
0.158,-1.386,-0.604,255.244,-0.488,53.720
0.160,-1.423,-0.507,284.329,2.744,68.902
0.146,-1.391,-0.497,309.695,7.805,79.451
0.140,-1.381,-0.492,336.829,12.195,90.854
0.151,-1.400,-0.536,368.293,15.976,100.976
0.123,-1.399,-0.588,400.244,17.439,112.744
0.128,-1.333,-0.664,435.854,10.732,127.439
0.104,-1.257,-0.664,476.341,6.098,140.061
0.073,-1.252,-0.597,521.402,-1.098,149.207
0.020,-1.263,-0.461,575.610,-7.256,165.183
-0.014,-1.294,-0.328,639.939,-8.780,180.854
-0.055,-1.308,-0.207,697.134,-15.488,192.927
-0.058,-1.405,0.050,762.500,-9.512,212.561
-0.079,-1.400,0.153,818.841,10.671,233.415
-0.086,-1.397,0.149,858.719,27.134,246.524
-0.084,-1.354,0.151,888.902,40.244,259.939
-0.092,-1.155,0.042,912.073,53.171,269.756
-0.096,-0.927,-0.117,926.463,58.902,278.232
-0.074,-0.784,-0.306,935.854,63.598,278.110
-0.049,-0.746,-0.469,931.341,63.232,279.634
-0.067,-0.673,-0.678,927.012,58.354,284.451
-0.087,-0.664,-0.886,900.915,33.110,267.805
-0.096,-0.415,-0.813,869.878,0.976,252.683
-0.100,-0.382,-0.723,835.976,-22.256,249.817
-0.104,-0.342,-0.551,788.902,-33.537,230.427
-0.075,-0.219,-0.357,739.146,-51.524,219.451
-0.082,-0.077,-0.215,681.463,-58.963,203.049
-0.065,-0.019,-0.062,627.866,-83.232,185.305
-0.149,0.082,0.125,564.573,-95.915,159.817
-0.242,-0.071,0.303,505.915,-99.939,143.659
-0.277,-0.059,0.424,440.976,-106.402,129.207
-0.293,-0.025,0.626,377.378,-114.878,111.098
-0.328,0.046,0.868,310.366,-124.085,93.780
-0.324,-0.012,1.065,251.037,-119.146,78.110
-0.358,-0.091,1.278,205.244,-117.378,65.061
-0.413,-0.198,1.427,168.720,-111.890,53.659
-0.442,-0.323,1.551,137.439,-103.659,45.244
-0.478,-0.366,1.671,120.366,-96.707,42.805
-0.498,-0.393,1.839,99.512,-92.927,42.805
-0.499,-0.380,1.991,88.598,-81.280,40.610
-0.474,-0.362,2.104,69.207,-62.378,42.927
-0.450,-0.328,2.159,54.512,-42.927,40.000
-0.444,-0.302,2.125,38.110,-19.573,40.427
-0.427,-0.239,2.014,27.012,-5.793,43.963
-0.414,-0.209,1.875,17.256,8.293,41.890
-0.413,-0.170,1.707,11.646,16.768,40.366
-0.398,-0.150,1.526,11.341,20.915,44.268
-0.386,-0.112,1.366,10.854,22.866,41.341
-0.362,-0.032,1.261,13.537,20.732,47.927
-0.332,0.087,1.179,19.329,18.415,48.049
-0.325,0.178,1.129,22.988,20.732,47.988
-0.320,0.231,1.116,30.061,17.866,44.878
-0.344,0.247,1.077,35.488,17.927,43.659
-0.348,0.265,1.068,49.573,17.073,42.012
