aX,aY,aZ,gX,gY,gZ
1.331,-0.449,0.484,16.646,3.354,-55.915
1.342,-0.472,0.484,17.988,5.183,-56.585
1.372,-0.482,0.478,17.073,10.183,-61.098
1.375,-0.474,0.438,14.573,18.720,-67.988
1.380,-0.475,0.433,16.768,20.915,-69.268
1.396,-0.464,0.402,12.805,24.451,-71.098
1.388,-0.458,0.386,15.305,26.890,-73.354
1.380,-0.458,0.361,13.476,32.561,-74.756
1.388,-0.450,0.358,17.073,35.854,-74.451

-1.785,-3.148,-0.282,247.988,-217.744,42.500
-1.792,-3.103,-0.305,262.012,-232.744,38.963
-1.723,-3.158,-0.320,279.756,-252.927,32.866
-1.671,-2.928,-0.441,296.707,-267.866,24.817
-1.578,-2.792,-0.529,312.805,-285.000,15.366
-1.521,-2.765,-0.649,329.146,-299.146,6.098
-1.414,-2.584,-0.745,344.695,-313.902,-6.463
-1.221,-2.381,-0.946,367.561,-337.744,-25.427
-1.014,-2.152,-1.089,395.305,-360.610,-44.695
-0.735,-1.885,-1.175,416.037,-380.915,-63.598
-0.447,-1.596,-1.178,439.939,-398.780,-82.073
-0.181,-1.469,-1.226,464.756,-419.756,-105.366
0.339,-1.002,-1.175,479.207,-424.573,-127.988
0.575,-0.580,-1.374,499.146,-418.049,-153.659
1.026,-0.159,-1.301,515.366,-414.817,-186.707
1.328,0.262,-1.437,531.281,-405.976,-218.902
1.745,0.833,-1.264,541.890,-390.915,-249.451
2.190,1.581,-0.981,540.366,-364.878,-263.780
2.652,2.338,-0.837,521.037,-328.110,-261.463
3.013,3.192,-0.501,480.183,-271.098,-226.220
3.229,3.718,-0.381,425.366,-221.220,-162.073
3.461,4.000,-0.437,378.780,-180.122,-77.195
3.402,4.000,-0.192,326.707,-143.963,6.829
3.435,4.000,0.127,274.512,-104.878,79.024
3.352,4.000,0.532,222.073,-70.976,123.415
3.220,4.000,0.752,177.500,-37.927,156.098
2.995,4.000,0.901,140.732,-9.878,158.110
2.727,3.808,0.965,108.659,22.012,140.122
2.397,3.460,1.000,78.598,44.634,102.744
2.036,3.160,1.028,58.415,57.988,52.927
1.698,2.854,1.032,35.488,64.939,1.341
1.384,2.557,1.068,17.561,71.524,-42.500
1.135,2.245,1.047,0.854,72.683,-87.744
0.914,1.968,1.030,-9.512,71.220,-124.329
0.712,1.672,1.005,-18.415,64.329,-146.402
0.588,1.355,1.001,-28.354,66.037,-160.488
0.478,1.087,1.006,-37.866,64.451,-164.024
0.408,0.835,1.037,-46.159,56.524,-154.695
0.342,0.630,1.067,-47.927,52.744,-135.244
0.297,0.438,1.095,-54.512,49.390,-112.256
0.280,0.282,1.113,-54.939,46.951,-82.195
0.244,0.154,1.100,-52.256,42.683,-47.744
0.216,0.056,1.114,-54.695,43.354,-14.207
0.193,-0.053,1.111,-51.463,37.439,20.610
0.177,-0.137,1.110,-52.927,38.780,48.476
0.168,-0.185,1.091,-48.232,33.354,79.451
0.148,-0.245,1.081,-48.598,29.634,97.439
0.115,-0.277,1.079,-40.244,32.683,112.378
0.120,-0.321,1.049,-35.976,29.146,119.451
0.095,-0.336,1.060,-32.561,27.378,120.732
0.089,-0.344,1.032,-29.512,22.927,112.134
0.098,-0.359,1.006,-22.256,20.000,106.098
0.119,-0.350,1.009,-13.659,14.390,88.415
0.083,-0.334,1.028,-10.610,12.927,73.354
0.099,-0.305,1.028,-2.439,10.488,61.768
0.115,-0.304,1.017,3.171,9.146,48.720
0.126,-0.267,0.992,7.073,3.659,35.793
0.132,-0.241,1.040,12.988,1.585,24.268
0.152,-0.222,1.036,14.207,0.488,14.756
0.199,-0.191,1.022,15.854,-2.378,4.817
0.224,-0.137,1.056,21.098,-2.805,-1.220
0.271,-0.120,1.056,22.073,-4.756,-5.976
0.315,-0.069,1.052,23.963,-5.000,-18.780
0.339,-0.037,1.032,25.976,-4.817,-23.780
0.379,-0.001,1.016,26.159,-5.854,-28.049
0.417,0.034,1.006,26.037,-7.622,-32.683
0.433,0.072,0.988,25.732,-5.183,-37.256
0.449,0.090,0.986,28.232,-1.890,-40.000
0.440,0.098,0.988,25.793,-2.622,-46.037
0.441,0.119,0.975,23.049,2.500,-50.366
0.448,0.132,0.976,23.415,1.098,-49.756
0.424,0.140,0.964,20.061,4.512,-50.732
0.420,0.148,0.953,17.439,5.793,-48.780
0.398,0.155,0.945,22.866,1.220,-50.671
0.389,0.138,0.944,18.293,4.085,-45.305
0.369,0.127,0.937,13.598,4.817,-41.707
0.365,0.115,0.944,17.134,6.707,-34.390
0.351,0.102,0.952,16.037,4.756,-33.354
0.335,0.091,0.947,11.768,5.793,-26.220
0.295,0.045,1.002,10.671,1.829,-23.232
0.276,0.037,0.956,13.598,4.329,-23.476
0.305,0.011,0.918,14.024,0.610,-21.524
0.304,0.006,0.893,13.902,0.427,-25.549
0.328,-0.006,0.923,14.634,-1.098,-26.829
0.350,-0.035,0.952,18.049,-1.707,-32.805
0.382,-0.044,0.933,16.829,1.159,-37.195
0.376,-0.039,0.941,19.756,2.683,-45.610
0.397,-0.017,0.960,21.646,2.683,-50.854
