aX,aY,aZ,gX,gY,gZ
0.064,-0.282,0.504,-232.927,-164.573,1421.463
0.147,-0.443,0.413,-239.390,-155.000,1337.073
0.285,-0.606,0.383,-241.037,-145.732,1238.719
0.392,-0.735,0.365,-242.622,-136.768,1133.841
0.444,-0.938,0.356,-236.829,-120.854,1021.341
0.482,-1.196,0.292,-228.780,-103.963,913.232
0.479,-1.393,0.245,-220.122,-91.890,809.573
0.492,-1.605,0.200,-206.220,-87.805,717.256
0.416,-1.787,0.205,-192.500,-68.293,625.793
0.336,-2.007,0.221,-175.305,-56.341,540.183
0.250,-2.141,0.360,-154.390,-51.829,459.817
0.166,-2.329,0.507,-134.817,-43.780,379.146
0.031,-2.469,0.638,-112.927,-38.354,307.317
0.014,-2.558,0.754,-87.378,-39.024,240.793
-0.033,-2.628,0.768,-57.561,-38.293,171.037
-0.023,-2.679,0.749,-31.829,-36.646,109.024
-0.022,-2.662,0.727,0.549,-34.024,51.220
0.029,-2.610,0.684,20.610,-29.817,1.585
0.032,-2.518,0.625,45.183,-26.280,-35.488
0.020,-2.354,0.530,65.793,-26.098,-65.793
-0.010,-2.124,0.486,85.000,-19.695,-81.829
-0.048,-1.889,0.449,96.524,-17.317,-93.293
-0.089,-1.678,0.446,105.854,-19.085,-92.622
-0.135,-1.478,0.454,113.780,-18.476,-90.671
-0.155,-1.286,0.471,120.488,-21.037,-84.756
-0.172,-1.124,0.500,127.500,-21.890,-77.073
-0.212,-0.935,0.521,125.000,-22.622,-69.878
-0.224,-0.760,0.542,128.780,-22.500,-63.110
-0.256,-0.578,0.538,126.646,-24.085,-62.134
-0.258,-0.394,0.533,123.293,-30.000,-62.561
-0.229,-0.234,0.537,118.415,-35.793,-64.512
-0.196,-0.093,0.539,112.195,-44.146,-65.671
-0.149,0.015,0.569,101.768,-40.549,-77.988
-0.098,0.085,0.597,99.939,-44.817,-91.037
-0.024,0.154,0.618,90.488,-44.024,-108.110
0.028,0.187,0.640,85.610,-47.439,-128.232
0.081,0.234,0.658,77.500,-47.927,-154.939
0.108,0.220,0.678,73.415,-42.256,-177.927
0.167,0.215,0.685,65.305,-42.256,-213.293
0.226,0.192,0.620,61.463,-40.122,-240.427
0.258,0.147,0.629,55.793,-38.963,-272.927
0.317,0.094,0.631,52.683,-36.280,-306.768
0.380,0.042,0.637,52.012,-32.317,-340.183
0.409,-0.001,0.635,49.329,-33.049,-367.927
0.452,-0.040,0.663,48.415,-26.524,-399.268
0.486,-0.085,0.669,43.841,-24.634,-417.073
0.508,-0.119,0.671,42.622,-21.402,-434.207
0.542,-0.144,0.670,39.024,-17.744,-447.256
0.575,-0.167,0.661,35.488,-13.110,-455.488
0.584,-0.183,0.660,32.683,-14.329,-451.280
0.609,-0.204,0.639,28.537,-8.537,-445.427
0.630,-0.231,0.643,23.171,-8.537,-431.646
0.647,-0.248,0.646,18.476,-8.232,-414.390
0.684,-0.267,0.640,12.073,-3.659,-390.732
0.702,-0.275,0.645,7.012,-4.207,-366.646
0.731,-0.294,0.655,3.354,-5.488,-338.902
0.757,-0.316,0.648,-1.341,-1.585,-307.378
0.758,-0.330,0.656,-6.890,3.049,-279.878
0.784,-0.338,0.644,-9.024,4.085,-247.683
0.792,-0.359,0.656,-16.159,7.683,-216.098
0.792,-0.371,0.636,-18.963,10.732,-183.110
0.761,-0.383,0.634,-20.183,16.280,-158.902
0.737,-0.411,0.616,-20.854,13.780,-130.549
0.721,-0.439,0.610,-24.024,18.476,-102.744
0.680,-0.477,0.615,-24.756,16.220,-77.805
0.649,-0.514,0.608,-28.415,21.098,-52.256
0.613,-0.542,0.594,-29.024,19.634,-40.488
0.584,-0.567,0.607,-25.976,21.341,-24.085
0.545,-0.600,0.640,-24.634,19.451,-15.854
0.502,-0.601,0.687,-21.463,17.805,-6.646
0.468,-0.607,0.717,-23.720,22.012,-8.415
0.438,-0.598,0.706,-21.159,17.378,-12.073
0.426,-0.578,0.719,-19.024,14.024,-17.378
0.419,-0.590,0.690,-17.500,14.512,-30.976
0.431,-0.587,0.665,-17.012,14.085,-43.293
0.421,-0.602,0.656,-14.573,12.500,-60.366
0.421,-0.603,0.658,-13.354,9.817,-75.305
0.437,-0.602,0.664,-8.659,9.451,-91.037
0.440,-0.612,0.667,-7.927,6.463,-107.012
0.451,-0.612,0.674,-8.171,9.146,-122.256
0.477,-0.615,0.672,-4.024,4.634,-137.012
0.479,-0.620,0.698,-3.720,1.220,-151.402
0.487,-0.617,0.726,0.793,2.256,-161.951
0.500,-0.598,0.728,-1.341,-1.341,-169.024
0.501,-0.593,0.724,0.061,-1.220,-166.524
0.525,-0.570,0.741,0.671,-1.951,-169.573
0.531,-0.560,0.764,3.720,-4.146,-158.293
0.555,-0.532,0.778,0.305,-2.439,-146.341
0.573,-0.543,0.769,0.427,-2.134,-131.463
0.594,-0.534,0.768,0.671,-6.646,-118.354
0.638,-0.523,0.755,0.976,-7.256,-102.012
0.669,-0.538,0.737,-3.110,-2.317,-86.402
0.693,-0.548,0.722,0.976,-4.085,-72.500
0.708,-0.531,0.724,0.366,-0.183,-58.171
0.729,-0.533,0.714,-5.183,-0.732,-50.061
0.753,-0.547,0.697,0.305,-1.159,-39.268
