aX,aY,aZ,gX,gY,gZ
-0.198,0.140,2.262,-61.402,423.354,-72.134
-0.189,0.105,1.786,-77.134,393.780,-61.585
-0.181,0.059,1.546,-77.195,390.610,-70.549
0.129,0.124,1.203,-90.549,396.951,-65.061
0.032,0.087,0.793,-85.976,380.549,-74.573
0.209,-0.084,0.405,-66.585,349.573,-75.000
0.170,-0.031,0.202,-84.939,361.463,-78.415
-0.121,-0.012,-0.097,-70.244,324.756,-74.695
-0.037,-0.065,-0.333,-78.476,308.963,-73.720
-0.059,-0.124,-0.430,-68.659,277.134,-66.707
-0.071,-0.090,0.104,-71.951,242.073,-70.610
0.034,-0.159,-0.217,-74.573,232.805,-70.915
-0.303,-0.383,0.663,-52.988,199.573,-66.524
-0.085,-0.122,0.320,-52.744,246.220,-62.866
-0.110,-0.589,-0.025,-30.000,245.366,-64.390
0.058,-0.203,0.201,-69.634,301.341,-57.012
-0.070,-0.705,0.102,-34.695,203.232,-74.268
-0.297,-0.356,0.230,-146.098,250.732,-35.244
-0.240,-0.986,0.633,-52.866,233.902,-60.183
-0.146,-0.673,0.398,-76.890,267.195,-29.756
0.065,-0.738,0.101,-37.683,250.793,-23.354
-0.225,-0.672,-0.099,-95.427,253.598,-27.256
-0.127,-0.524,-0.037,-53.476,259.390,-15.305
-0.182,-0.668,-0.259,-85.549,260.488,-18.963
-0.135,-0.693,-0.480,-67.988,252.683,-5.732
-0.208,-0.653,-0.587,-97.927,239.085,-6.159
-0.171,-0.700,-0.739,-95.671,221.280,1.280
-0.196,-0.567,-0.800,-119.268,219.207,3.598
-0.163,-0.467,-0.936,-126.463,196.280,5.488
-0.147,-0.494,-0.910,-150.854,172.561,2.134
-0.194,-0.523,-0.789,-123.110,172.012,15.305
-0.288,-0.410,-1.035,-138.841,161.585,14.939
-0.259,-0.290,-1.026,-118.841,145.000,20.244
-0.358,-0.417,-1.130,-110.976,150.122,21.707
-0.391,-0.317,-1.302,-101.037,151.585,28.902
-0.469,-0.355,-1.552,-74.695,124.817,32.195
-0.400,-0.088,-1.627,-47.927,96.524,49.268
-0.526,-0.131,-1.806,-3.232,50.305,40.244
-0.550,-0.233,-1.737,15.732,10.183,45.305
-2.894,-0.123,-1.631,1.463,-14.146,31.280
-0.159,0.397,-1.183,51.585,-123.659,44.695
-0.711,0.309,-0.820,-68.171,-31.585,37.378
-0.928,-0.421,-0.884,16.280,-55.854,31.159
-0.638,0.063,-0.640,-9.939,-101.402,49.756
-0.940,-0.276,-0.189,-6.768,-85.671,21.098
-0.798,-0.230,-0.243,19.573,-114.451,50.366
-0.762,0.061,0.161,-18.780,-122.317,35.000
-0.856,-0.307,0.695,9.146,-116.646,30.366
-0.562,-0.344,0.854,12.317,-93.293,43.720
-0.919,-0.330,1.038,36.159,-70.915,47.439
-0.980,-0.313,1.015,28.293,-45.061,51.280
-1.031,-0.209,0.914,27.622,-38.293,57.073
-1.039,-0.041,0.939,25.427,-17.012,57.866
-0.957,0.079,0.843,13.841,-15.000,48.293
-1.005,0.187,0.871,9.817,-0.366,47.866
-0.964,0.203,0.871,7.500,6.890,44.146
-1.008,0.305,0.768,14.146,14.695,40.854
-1.018,0.239,0.668,8.171,22.073,35.732
-1.081,0.259,0.551,14.146,27.012,32.500
-0.945,0.148,0.411,12.927,25.854,27.073
-0.902,0.123,0.309,9.329,28.841,24.573
-0.958,0.098,0.221,13.171,17.439,25.488
-0.930,0.113,0.180,10.549,21.524,20.122
-0.941,0.129,0.089,8.780,10.671,17.683
-0.930,0.086,0.053,5.244,3.537,12.500
-0.970,0.134,0.054,3.963,-5.793,13.110
-0.937,0.100,0.063,-2.317,-13.354,10.854
-0.916,0.049,0.152,-2.439,-17.073,3.598
-0.909,-0.034,0.242,-3.598,-28.476,2.134
-0.920,-0.049,0.363,-3.537,-28.720,0.549
-0.914,-0.083,0.479,-7.561,-27.378,2.073
-0.930,-0.083,0.590,-2.622,-26.768,-0.305
-0.938,-0.088,0.669,-2.561,-19.512,-0.427
-0.951,-0.071,0.737,-0.671,-17.622,-0.793
-0.943,-0.043,0.773,-2.378,-5.976,0.183
-0.954,-0.040,0.786,1.037,-0.122,-1.220
-0.936,-0.028,0.785,-1.646,5.366,-0.366
-0.945,-0.030,0.749,-0.610,15.183,-5.122
-0.934,-0.044,0.704,-1.037,23.841,-4.512
-0.930,-0.030,0.641,-0.488,24.756,-7.439

0.193,0.127,-1.630,131.890,-139.085,-15.061
0.010,-0.131,-1.869,129.024,-160.793,-14.634
-0.228,-0.110,-1.959,111.463,-183.171,3.598
-0.309,-0.165,-1.983,98.171,-192.256,-6.829
-0.295,-0.291,-2.034,94.146,-207.256,-12.073
-0.269,-0.384,-2.106,78.598,-221.463,-0.427
-0.170,-0.321,-2.134,64.146,-238.415,-1.890
0.072,-0.210,-2.173,54.573,-291.646,2.195
0.223,-0.123,-1.910,47.073,-323.963,-2.927
0.204,-0.081,-1.754,48.902,-353.415,-0.976
0.253,-0.109,-1.479,48.232,-392.256,-4.268
0.293,-0.067,-1.198,17.805,-429.634,-8.110
0.397,-0.169,-0.913,21.098,-475.244,-13.537
0.366,-0.273,-0.278,4.329,-493.537,-17.805
0.333,-0.497,0.114,9.390,-488.476,-12.561
0.281,-0.417,0.416,12.378,-492.622,-1.707
0.330,-0.409,0.786,22.683,-502.805,-2.683
0.459,-0.526,1.175,22.744,-501.463,3.537
0.323,-0.565,1.604,22.378,-504.329,9.390
0.392,-0.531,2.082,11.159,-488.780,16.829
0.341,-0.545,2.558,20.610,-458.780,19.146
0.213,-0.514,2.849,24.939,-414.024,33.659
0.030,-0.361,3.011,38.841,-379.268,37.439
-0.156,-0.218,3.134,55.854,-348.963,44.695
-0.404,-0.137,3.398,61.159,-326.098,37.134
-0.544,0.167,3.659,59.756,-299.085,55.366
-0.634,0.406,3.935,63.841,-264.390,39.878
-0.705,0.439,4.000,64.573,-219.817,38.171
-0.725,0.600,4.000,66.402,-161.646,35.122
-0.731,0.664,4.000,66.098,-101.707,25.976
-0.706,0.647,4.000,70.366,-47.805,14.695
-0.669,0.620,4.000,67.378,-10.183,7.195
-0.660,0.552,3.765,69.146,30.000,3.171
-0.653,0.453,3.434,70.061,64.390,-7.744
-0.630,0.105,3.125,67.439,83.902,-9.268
-0.610,-0.120,2.750,75.549,90.793,-10.915
-0.529,-0.125,2.565,64.634,111.768,-6.159
-0.582,-0.188,2.250,76.768,142.317,-11.768
-1.006,-0.466,1.561,141.890,93.659,-10.915
-0.634,-0.780,0.988,93.293,106.463,-10.427
-0.982,-0.518,2.044,30.488,103.598,-20.488
-0.632,-0.466,1.453,103.598,75.427,21.646
-0.659,-0.313,1.303,-4.817,78.415,-12.866
-0.622,-0.562,1.457,71.159,32.683,14.817
-0.566,-0.144,1.627,-14.634,33.415,6.220
-0.658,-0.246,1.983,50.305,40.488,13.354
-0.587,0.049,1.859,2.134,32.012,11.524
-0.694,-0.062,2.272,21.707,56.524,8.780
-0.657,0.222,2.042,16.768,57.317,18.902
-0.686,0.274,2.301,3.537,67.256,5.244
-0.735,0.357,2.310,20.549,78.780,15.000
-0.782,0.439,2.317,-5.000,88.537,0.366
-0.802,0.472,2.417,2.439,103.110,-2.805
-0.775,0.643,2.395,-0.183,112.134,-4.634
-0.751,0.717,2.522,-7.866,126.707,-18.720
-0.720,0.778,2.548,3.293,148.232,-20.427
-0.620,0.889,2.638,-5.915,159.390,-32.256
-0.592,0.725,2.702,6.768,178.110,-41.037
-0.554,0.756,2.693,-28.476,213.537,-49.146
-0.521,0.602,2.673,-11.037,240.000,-54.817
-0.395,0.586,2.495,-27.927,275.000,-63.902
-0.307,0.464,2.430,-21.341,306.159,-67.439
-0.183,0.347,2.067,-46.159,310.549,-74.512
-0.064,0.269,1.788,-51.037,352.805,-74.573
-0.020,0.115,1.499,-64.207,362.378,-76.951
-0.008,-0.080,1.227,-60.732,392.988,-80.061
0.023,-0.101,0.706,-80.061,413.598,-69.512
0.021,-0.212,0.122,-90.183,404.146,-78.780
0.030,-0.310,-0.472,-88.415,371.890,-73.049
0.018,-0.162,-0.509,-113.963,328.780,-73.720
-0.032,-0.377,-0.687,-108.598,304.695,-78.049
0.329,-0.323,-0.718,-120.793,276.220,-65.793
0.000,-0.426,-0.855,-119.451,258.780,-72.744
-0.050,-0.315,-0.525,-111.220,253.841,-50.671
-0.233,-0.250,-0.671,-85.122,219.817,-49.024
-0.275,-0.237,-0.633,-100.549,207.744,-49.695
-0.346,-0.239,-0.672,-81.098,190.122,-43.720
-0.419,-0.187,-0.563,-103.963,169.695,-40.976
-0.420,-0.146,-0.447,-105.549,162.195,-43.537
-0.523,-0.222,-0.353,-88.110,154.085,-35.305
-0.555,-0.109,-0.324,-78.537,147.866,-32.805
-0.585,-0.140,-0.242,-71.037,134.756,-32.195
-0.581,-0.058,-0.152,-68.537,128.598,-32.134
-0.623,-0.072,0.033,-68.171,119.024,-30.488
-0.669,-0.044,0.174,-67.378,114.207,-33.171
-0.690,-0.054,0.357,-67.622,105.549,-32.622
-0.650,-0.041,0.621,-65.854,113.659,-32.988
-0.597,-0.049,0.740,-63.963,134.878,-34.024
-0.556,-0.107,0.801,-62.805,159.634,-34.756
-0.510,-0.125,0.741,-66.463,180.122,-30.854
-0.533,-0.177,0.699,-49.207,200.488,-30.305
-0.519,-0.165,0.472,-22.378,219.329,-29.207
-0.597,-0.029,0.122,-33.293,245.122,-27.317
-0.643,-0.133,-0.262,-19.268,247.195,-23.049
-0.541,0.014,-0.614,-16.524,255.183,-21.646
-0.678,0.039,-1.083,-30.976,255.549,-31.220
-0.573,-0.048,-1.459,-12.439,224.634,-31.646
-0.555,-0.097,-1.706,-17.805,182.134,-36.037
-0.594,-0.225,-1.812,-9.390,148.963,-37.500
-0.599,-0.237,-1.982,-2.805,117.256,-30.488
-0.633,-0.247,-2.103,0.671,72.683,-29.878
-0.663,-0.334,-2.040,6.463,24.390,-27.622
-0.678,-0.297,-1.819,2.988,-1.524,-25.366
-0.700,-0.310,-1.665,3.963,-34.329,-25.732
-0.741,-0.288,-1.403,12.805,-73.171,-27.317
-0.816,-0.299,-0.998,11.768,-105.488,-28.476
-0.801,-0.278,-0.533,10.183,-117.866,-26.098
-0.833,-0.311,-0.203,11.585,-97.988,-26.707
-0.867,-0.334,-0.014,12.683,-86.768,-21.524
-0.896,-0.359,0.195,11.220,-91.402,-24.268
