aX,aY,aZ,gX,gY,gZ
-2.532,3.304,-1.990,-431.463,306.098,2.378
-2.681,3.259,-2.094,-458.171,292.927,-25.122
-2.833,3.154,-2.128,-486.890,279.939,-44.146
-2.997,2.961,-2.254,-516.646,261.951,-57.073
-3.201,2.679,-2.422,-546.098,246.646,-59.939
-3.397,2.383,-2.530,-573.659,227.561,-55.183
-3.717,1.639,-2.479,-604.146,205.610,-48.720
-3.765,1.569,-2.946,-624.451,182.500,-40.305
-3.977,1.323,-2.979,-642.256,150.610,-27.988
-4.000,0.919,-2.965,-662.622,124.939,-12.866
-4.000,0.588,-3.146,-677.012,98.110,-2.988
-4.000,0.263,-3.346,-688.841,64.695,6.829
-4.000,-0.121,-3.351,-697.866,34.390,15.915
-4.000,-0.394,-3.356,-704.695,6.951,23.415
-4.000,-0.771,-3.396,-710.793,-18.537,29.817
-3.877,-1.017,-3.488,-710.305,-42.439,30.183
-3.780,-1.392,-3.618,-712.195,-70.244,34.756
-3.783,-1.633,-3.490,-710.244,-90.244,36.159
-3.733,-1.940,-3.481,-706.159,-110.549,33.841
-3.622,-2.132,-3.510,-700.610,-133.659,37.378
-3.531,-2.366,-3.543,-695.000,-153.841,31.768
-3.444,-2.698,-3.585,-687.378,-187.683,33.293
-3.469,-3.036,-3.484,-681.890,-217.073,30.549
-3.309,-3.370,-3.547,-674.085,-242.805,26.402
-3.196,-3.762,-3.474,-656.585,-268.902,18.537
-2.944,-4.000,-3.488,-642.256,-280.183,9.817
-2.822,-4.000,-3.442,-626.646,-312.012,-2.012
-2.850,-4.000,-3.118,-613.963,-341.829,-8.293
-2.426,-4.000,-2.727,-579.512,-370.427,-40.671
-2.149,-4.000,-2.148,-529.756,-394.390,-79.817
-1.608,-4.000,-1.908,-462.195,-426.707,-129.817
-0.997,-4.000,-1.643,-359.573,-451.890,-187.317
-0.221,-4.000,-1.252,-247.500,-467.988,-248.476
0.400,-4.000,-0.875,-126.220,-460.915,-305.488
0.968,-4.000,-0.839,-16.159,-448.537,-344.756
1.544,-4.000,-0.804,83.293,-435.610,-368.659
1.912,-4.000,-0.771,178.780,-414.512,-381.951
2.202,-4.000,-0.479,281.037,-390.427,-379.573
2.517,-4.000,-0.388,367.622,-329.878,-365.915
2.496,-4.000,-0.925,443.963,-267.927,-331.159
2.230,-4.000,-1.172,496.890,-226.768,-291.098
1.853,-4.000,-1.438,546.463,-200.427,-245.244
1.402,-4.000,-1.575,581.463,-172.439,-187.927
0.916,-3.277,-1.622,601.281,-168.537,-138.598
0.604,-2.460,-1.654,620.244,-172.317,-92.683
0.426,-1.542,-1.807,622.622,-174.878,-57.073
0.156,-0.978,-1.798,615.549,-186.280,-22.927
0.238,-0.439,-1.623,612.256,-200.427,-2.256
0.155,0.156,-1.872,595.915,-196.220,12.317
0.172,0.498,-1.749,581.098,-189.634,15.610
0.100,0.474,-1.852,566.159,-199.207,20.000
0.138,0.672,-1.828,551.646,-215.183,20.427
0.220,0.842,-1.618,537.866,-216.220,7.073
0.308,0.896,-1.477,525.183,-215.854,-8.171
0.465,0.948,-1.308,510.854,-216.402,-35.244
0.580,1.014,-1.233,502.622,-216.768,-63.963
0.765,1.066,-1.228,484.451,-213.171,-89.878
1.281,0.877,-1.425,469.207,-214.756,-113.963
1.215,0.895,-1.288,464.512,-198.354,-135.488
1.329,0.892,-1.199,458.354,-172.195,-157.927
1.367,0.856,-1.239,455.122,-156.890,-187.134
1.437,0.852,-1.192,458.354,-143.659,-216.585
1.377,0.945,-1.140,462.378,-121.220,-250.305
1.421,1.107,-1.174,466.951,-99.207,-282.866
1.367,1.274,-1.186,468.293,-76.951,-314.146
1.269,1.446,-1.076,465.915,-61.098,-343.659
